anio_fiscal,mes_fiscal,tipo_contribuyente,actividad_economica,impuesto_causado_601,imp_a_pagar_por_percepcion_699,imp_a_pagar_por_retencion_799,total_compras_locales_e_importac_519,total_ventas_y_exportaciones_419
2017,12,SOCIEDADES,C1050,1882304.75,1297620.75,1295404.9,75510484.98,82048590.77
2017,12,SOCIEDADES,C1071,656836.08,517446.36,470471.01,22890357.85,26961606.060000002
2017,12,SOCIEDADES,C1103,6483382.24,5154564.98,2270171.38,35417804.16,85661134.7
2018,1,SOCIEDADES,C1050,2487816.82,2238906.25,581587.85,49792117.07,71217129.34
2018,1,SOCIEDADES,C1071,1509054.49,880055.58,218144.61000000002,15554023.91,29548537.209999997
2018,1,SOCIEDADES,C1103,5586946.65,4530580.87,569339.3,18986046.770000003,65433657.24
2018,2,SOCIEDADES,C1050,1557102.23,1117574.69,1663120.47,62672741.22,71507063.06
2018,2,SOCIEDADES,C1071,998148.89,854075.65,237056.2,14784588.799999999,23663155.8
2018,2,SOCIEDADES,C1103,9377606.83,8295252.68,110744.11,6847779.76,84320581.24
2018,3,SOCIEDADES,C1050,3191379.81,2582055.44,925241.58,53218352.47,83321701.89
2018,3,SOCIEDADES,C1071,1231777.37,1059618.52,292816.11,16793950.43,27551528.3
2018,3,SOCIEDADES,C1103,3563924.82,2262416.16,562452.52,19403728.05,56616675.27
2018,4,SOCIEDADES,C1050,2375540.17,1948011.81,785556.55,58125211.76,78416636.61
2018,4,SOCIEDADES,C1071,997102.59,838302.14,252070.51,15885860.25,24848096.3
2018,4,SOCIEDADES,C1103,6523763.79,5421255.63,574105.72,19283362.66,62010490.27
2018,5,SOCIEDADES,C1050,2082415.71,1575958.5699999998,1665657.8499999999,64974342.35,89588196.87
2018,5,SOCIEDADES,C1071,1266973.8800000001,1096081.4200000002,250193.91,17299614.6,28676436.39
2018,5,SOCIEDADES,C1103,6264749.51,5129452.39,457289.89,18271412.24,67896071.61
2018,6,SOCIEDADES,C1050,2525639.36,2050394.74,1078045.24,62513625.26,79298381.48
2018,6,SOCIEDADES,C1071,1046306.6900000001,894541.78,330590.76,17294282.79,26506118.720000003
2018,6,SOCIEDADES,C1103,4889357.69,3811298.57,700436.92,20892793.52,59950336.39
2018,7,SOCIEDADES,C1050,7621360.09,7204283.67,768367.49,59801916.3,122111922.34
2018,7,SOCIEDADES,C1071,1252477.1500000001,1073339.35,308453.69,18344411.66,29053683.200000003
2018,7,SOCIEDADES,C1103,5986151.58,5019686.61,397595.74,14477819.68,62266995.74
2018,8,SOCIEDADES,C1050,1355178.7,934358.3,1679672.79,66008008.34,74832468.4
2018,8,SOCIEDADES,C1071,1450829.08,1251472.21,275573.35,18585661.43,30757882.51
2018,8,SOCIEDADES,C1103,6538918.47,5494863.54,386654.4,17543403.36,70477960.48
2018,9,SOCIEDADES,C1050,2313952.58,1883184.97,922594.41,57644502.37,72880732.6
